p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:02.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:03.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:03.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:04.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:04.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:05.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:05.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:06.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:06.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:07.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:07.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:08.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:08.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:09.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:09.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:10.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:10.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:11.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:11.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:12.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:12.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:13.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:13.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:14.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:14.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:15.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:15.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:16.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:16.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:17.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:17.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:18.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:18.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:19.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:19.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:20.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:20.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:21.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:21.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:22.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:22.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:23.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:23.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:24.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:24.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:25.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:03:25.517000
